Entity ID,Name,Type,Building,Floor,Room
fff89aa0-daf5-11ef-94c5-01236d0e69c4,DIC Mezzanine Block 2_Z1-Corridor,room,DIC/Main,DIC/Main/Mezzanine Floor,Zone 1
ffdf1f30-daf5-11ef-94c5-01236d0e69c4,DIC Mezzanine Block 2_Z1-Seating Area,room,DIC/Main,DIC/Main/Mezzanine Floor,Zone 1
fe34a380-daf5-11ef-94c5-01236d0e69c4,DIC Mezzanine Block 2_Z1-Office 2,room,DIC/Main,DIC/Main/Mezzanine Floor,Zone 1
fe27d240-daf5-11ef-94c5-01236d0e69c4,DIC Mezzanine Block 2_Z1-Office 3,room,DIC/Main,DIC/Main/Mezzanine Floor,Zone 1
fc05c760-ae18-11ef-b3dd-63d74b5efe4e,GROUND FLOOR (ALEC DIC YARD) - Male Washroom,room,DIC/Main,DIC/Main/Ground Floor,
e7c680f0-dece-11ef-94c5-01236d0e69c4,DIC Mezzanine Block 2_Z1-Melvin Office,room,DIC/Main,DIC/Main/Mezzanine Floor,Zone 1
dd3682c0-ae18-11ef-b3dd-63d74b5efe4e,GROUND FLOOR (ALEC DIC YARD) - Area 6,room,DIC/Main,DIC/Main/Ground Floor,
d55859c0-ae18-11ef-b3dd-63d74b5efe4e,GROUND FLOOR (ALEC DIC YARD) - Area 5,room,DIC/Main,DIC/Main/Ground Floor,
d121b090-dece-11ef-94c5-01236d0e69c4,White Space_White_Space-Corridor,room,DIC/Whitespace,DIC/Whitespace/GroundFloor,White Space
cbe8d500-c1e5-11ef-94c5-01236d0e69c4,DIC Mezzanine Block 4&5_Z6-IDF Room,room,DIC/Main,DIC/Main/Mezzanine Floor,Not Assigned
cbe15af0-c1e5-11ef-94c5-01236d0e69c4,DIC Mezzanine Block 4&5_Z6-Store Room,room,DIC/Main,DIC/Main/Mezzanine Floor,Zone 6
ca080470-c732-11ef-94c5-01236d0e69c4,DIC Mezzanine Block 4&5_Z7-Male Toilet,room,DIC/Main,DIC/Main/Mezzanine Floor,Zone 7
c18bd6b0-ae18-11ef-b3dd-63d74b5efe4e,GROUND FLOOR (ALEC DIC YARD) - Area 4,room,DIC/Main,DIC/Main/Ground Floor,
c0f57cc0-c1e5-11ef-94c5-01236d0e69c4,DIC Mezzanine Block 4&5_Z7-Meeting Room,room,DIC/Main,DIC/Main/Mezzanine Floor,Zone 7
c04e4040-c1e5-11ef-94c5-01236d0e69c4,DIC Mezzanine Block 4&5_Z6-Reception,room,DIC/Main,DIC/Main/Mezzanine Floor,Zone 6
